Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D3.0mm,74.067501,-52.375001,0.0,top
D2,LED,LED_D3.0mm,67.057501,-52.375001,0.0,top
D3,LED,LED_D3.0mm,67.057501,-61.975001,0.0,top
D4,LED,LED_D3.0mm,74.042501,-61.950001,0.0,top
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,62.65,-57.18,180.0,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,78.3,-56.56,0.0,top
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,65.786,-49.657,180.0,bottom
R2,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,75.057,-49.650001,180.0,bottom
R3,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,65.659,-64.897,180.0,bottom
R4,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,75.819,-64.897,180.0,bottom
