Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D3.0mm,13.797501,-27.918638,0.0,top
D1,LED,LED_D3.0mm,36.257501,-5.415001,0.0,top
D1,LED,LED_D3.0mm,36.257501,-27.918638,0.0,top
D1,LED,LED_D3.0mm,58.717501,-5.415001,0.0,top
D1,LED,LED_D3.0mm,81.177501,-72.925912,0.0,top
D1,LED,LED_D3.0mm,81.177501,-27.918638,0.0,top
D1,LED,LED_D3.0mm,13.797501,-50.422275,0.0,top
D1,LED,LED_D3.0mm,58.717501,-27.918638,0.0,top
D1,LED,LED_D3.0mm,36.257501,-72.925912,0.0,top
D1,LED,LED_D3.0mm,81.177501,-50.422275,0.0,top
D1,LED,LED_D3.0mm,58.717501,-50.422275,0.0,top
D1,LED,LED_D3.0mm,36.257501,-50.422275,0.0,top
D1,LED,LED_D3.0mm,58.717501,-72.925912,0.0,top
D1,LED,LED_D3.0mm,13.797501,-5.415001,0.0,top
D1,LED,LED_D3.0mm,81.177501,-5.415001,0.0,top
D1,LED,LED_D3.0mm,13.797501,-72.925912,0.0,top
D2,LED,LED_D3.0mm,74.167501,-27.918638,0.0,top
D2,LED,LED_D3.0mm,74.167501,-50.422275,0.0,top
D2,LED,LED_D3.0mm,29.247501,-72.925912,0.0,top
D2,LED,LED_D3.0mm,6.787501,-27.918638,0.0,top
D2,LED,LED_D3.0mm,6.787501,-5.415001,0.0,top
D2,LED,LED_D3.0mm,51.707501,-5.415001,0.0,top
D2,LED,LED_D3.0mm,51.707501,-72.925912,0.0,top
D2,LED,LED_D3.0mm,51.707501,-50.422275,0.0,top
D2,LED,LED_D3.0mm,74.167501,-72.925912,0.0,top
D2,LED,LED_D3.0mm,29.247501,-5.415001,0.0,top
D2,LED,LED_D3.0mm,51.707501,-27.918638,0.0,top
D2,LED,LED_D3.0mm,29.247501,-27.918638,0.0,top
D2,LED,LED_D3.0mm,6.787501,-72.925912,0.0,top
D2,LED,LED_D3.0mm,6.787501,-50.422275,0.0,top
D2,LED,LED_D3.0mm,74.167501,-5.415001,0.0,top
D2,LED,LED_D3.0mm,29.247501,-50.422275,0.0,top
D3,LED,LED_D3.0mm,74.167501,-82.525912,0.0,top
D3,LED,LED_D3.0mm,6.787501,-82.525912,0.0,top
D3,LED,LED_D3.0mm,6.787501,-15.015001,0.0,top
D3,LED,LED_D3.0mm,74.167501,-15.015001,0.0,top
D3,LED,LED_D3.0mm,6.787501,-37.518638,0.0,top
D3,LED,LED_D3.0mm,29.247501,-37.518638,0.0,top
D3,LED,LED_D3.0mm,6.787501,-60.022275,0.0,top
D3,LED,LED_D3.0mm,74.167501,-60.022275,0.0,top
D3,LED,LED_D3.0mm,74.167501,-37.518638,0.0,top
D3,LED,LED_D3.0mm,51.707501,-15.015001,0.0,top
D3,LED,LED_D3.0mm,29.247501,-82.525912,0.0,top
D3,LED,LED_D3.0mm,29.247501,-60.022275,0.0,top
D3,LED,LED_D3.0mm,51.707501,-60.022275,0.0,top
D3,LED,LED_D3.0mm,29.247501,-15.015001,0.0,top
D3,LED,LED_D3.0mm,51.707501,-82.525912,0.0,top
D3,LED,LED_D3.0mm,51.707501,-37.518638,0.0,top
D4,LED,LED_D3.0mm,81.152501,-37.493638,0.0,top
D4,LED,LED_D3.0mm,36.232501,-14.990001,0.0,top
D4,LED,LED_D3.0mm,81.152501,-82.500912,0.0,top
D4,LED,LED_D3.0mm,58.692501,-59.997275,0.0,top
D4,LED,LED_D3.0mm,81.152501,-59.997275,0.0,top
D4,LED,LED_D3.0mm,58.692501,-37.493638,0.0,top
D4,LED,LED_D3.0mm,13.772501,-59.997275,0.0,top
D4,LED,LED_D3.0mm,13.772501,-14.990001,0.0,top
D4,LED,LED_D3.0mm,58.692501,-14.990001,0.0,top
D4,LED,LED_D3.0mm,36.232501,-59.997275,0.0,top
D4,LED,LED_D3.0mm,36.232501,-37.493638,0.0,top
D4,LED,LED_D3.0mm,58.692501,-82.500912,0.0,top
