Comment,Designator,Footprint,LCSC,Quantity
Conn_01x09_Pin,"J2,J3,J4",PinHeader_1x09_P2.54mm_Vertical,C225484,3
LED,"D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D12,D120,D121,D122,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,C2843803,122
220R,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R5,R6,R7,R8,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2933785,42
Conn_02x01,"J8,J9",TerminalBlock_bornier-2_P5.08mm,C3703,2
Conn_01x04_Pin,"J5,J6",PinHeader_1x04_P2.54mm_Vertical,C5116483,2
Conn_02x20_Counter_Clockwise,"J1,J7",PinHeader_2x20_P2.54mm_Vertical,C725892,2
~,KR3,Korry Switch,,1
~,KR5,Korry Switch,,1
~,KR6,Korry Switch,,1
~,KR7,Korry Switch,,1
~,KR4,Korry Switch,,1
~,KR1,Korry Switch,,1
~,KR2,Korry Switch,,1
