Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,59.575,-111.75,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,79.785,-127.85,0.0,top
D100,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,340.025,-97.15,0.0,top
D101,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,312.635,-96.35,0.0,top
D102,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,310.535,-114.7,0.0,top
D103,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,267.685,-128.65,0.0,top
D104,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,256.225,-128.35,0.0,top
D105,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,280.485,-116.5,0.0,top
D106,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,367.485,-112.9,0.0,top
D107,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,278.325,-104.25,0.0,top
D108,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,272.275,-96.0,0.0,top
D109,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,255.075,-96.15,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,93.435,-133.25,0.0,top
D110,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,244.475,-106.2,0.0,top
D111,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,245.725,-118.0,0.0,top
D112,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,229.175,-136.8,0.0,top
D113,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,230.185,-118.85,0.0,top
D114,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,229.575,-105.05,0.0,top
D115,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,245.385,-89.35,0.0,top
D116,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,221.985,-96.15,0.0,top
D117,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,204.835,-96.3,0.0,top
D118,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,229.085,-89.5,0.0,top
D119,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,196.325,-89.5,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,72.535,-164.05,0.0,top
D120,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,196.725,-104.25,0.0,top
D121,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,196.325,-117.45,0.0,top
D122,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,217.235,-128.75,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,89.775,-164.5,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,106.375,-134.05,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,106.635,-148.8,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,120.385,-157.55,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,96.985,-151.05,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,99.035,-164.5,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,98.535,-177.5,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,81.835,-104.45,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,61.035,-190.4,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,77.585,-188.05,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,98.935,-190.6,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.135,-186.3,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,129.025,-190.5,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,129.485,-176.55,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,131.485,-151.6,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,122.235,-128.85,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,130.385,-141.45,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,139.135,-128.95,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,92.785,-94.8,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,151.735,-136.1,0.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,139.785,-161.15,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,152.135,-151.4,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,157.285,-128.4,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,145.925,-116.7,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,147.185,-103.05,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,155.025,-96.0,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,170.385,-95.9,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,147.185,-89.2,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,179.625,-89.3,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,112.125,-105.1,0.0,top
D40,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,178.385,-103.4,0.0,top
D41,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,180.035,-115.85,0.0,top
D42,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,169.085,-128.3,0.0,top
D43,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,179.785,-136.0,0.0,top
D44,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,161.935,-140.9,0.0,top
D45,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,172.985,-141.1,0.0,top
D46,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,180.985,-150.95,0.0,top
