Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_Radial_D5.0mm_P2.50mm,175.35,-146.9,0.0,bottom
C2,0.1 uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,197.3,-146.75,90.0,bottom
D1,1N5818,D_SMA_Handsoldering,346.625,-109.05,180.0,bottom
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,62.025,-171.475,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,63.835,-186.5,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,82.225,-194.55,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,97.135,-187.875,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,96.86,-171.075,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.985,-162.225,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,96.86,-157.75,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,96.06,-135.675,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,97.135,-124.45,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,104.41,-113.3,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,66.475,-102.075,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,120.91,-113.4,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,107.785,-128.425,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,119.81,-142.625,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,108.285,-157.65,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,126.985,-166.2,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,128.35,-182.225,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,113.86,-194.75,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,141.935,-159.925,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,141.685,-132.85,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,163.775,-139.625,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,80.5,-98.8,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,162.15,-117.515,90.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,151.185,-106.275,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,166.9,-154.2,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,156.76,-166.35,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,154.96,-180.675,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,160.85,-194.775,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,182.885,-194.5,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,140.1,-195.075,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,187.475,-186.125,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,216.05,-194.775,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,96.76,-102.25,0.0,top
D40,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,196.675,-176.375,0.0,top
D41,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,184.8,-166.65,0.0,top
D42,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,195.325,-160.775,0.0,top
D43,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,193.35,-154.3,0.0,top
D44,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,183.2,-132.925,0.0,top
D45,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,170.125,-118.915,90.0,top
D46,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,182.25,-103.8,0.0,top
D47,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,213.475,-103.6,0.0,top
D48,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,225.375,-119.475,-90.0,top
D49,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,244.775,-106.7,0.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,65.41,-115.975,0.0,top
D50,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,200.985,-142.125,0.0,top
D51,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,225.45,-142.9,0.0,top
D52,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,247.925,-132.75,0.0,top
D53,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,229.725,-153.85,0.0,top
D54,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,226.525,-176.675,0.0,top
D55,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,236.375,-184.275,0.0,top
D56,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,252.81,-195.15,0.0,top
D57,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,252.5,-153.45,0.0,top
D58,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,256.25,-117.9,90.0,top
D59,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,262.675,-140.7,0.0,top
D6,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,59.16,-125.825,0.0,top
D60,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,279.25,-145.9,0.0,top
D61,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,280.0,-160.675,0.0,top
D62,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,268.95,-171.725,0.0,top
D63,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,238.075,-165.6,0.0,top
D64,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,268.95,-185.6,0.0,top
D65,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,290.425,-193.5,0.0,top
D66,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,290.725,-168.575,0.0,top
D67,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,302.375,-153.675,0.0,top
D68,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,301.925,-142.775,0.0,top
D69,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,294.025,-123.975,0.0,top
D7,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,67.31,-131.9,0.0,top
D70,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,278.2,-112.65,0.0,top
D71,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,300.575,-113.4,0.0,top
D72,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,316.55,-113.7,0.0,top
D73,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,320.275,-128.6,0.0,top
D74,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,317.275,-151.125,0.0,top
D75,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,322.65,-168.425,0.0,top
D76,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,322.95,-193.2,0.0,top
D77,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,354.125,-193.2,0.0,top
D78,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,354.575,-169.775,0.0,top
D79,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,337.725,-157.55,0.0,top
D8,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,63.675,-145.225,0.0,top
D80,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,365.625,-179.475,0.0,top
D81,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,363.075,-157.85,0.0,top
D82,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,361.9,-135.025,0.0,top
D83,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,366.65,-119.8,0.0,top
D84,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,326.55,-141.075,0.0,top
D9,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,64.035,-159.55,0.0,top
IC1,MAX7219CWG,SOIC-24W_7.5x15.4mm_P1.27mm,187.125,-146.7,90.0,bottom
J1,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,132.815,-99.075,180.0,bottom
J2,Conn_02x20_Counter_Clockwise,PinHeader_2x20_P2.54mm_Vertical,304.36,-98.68,90.0,bottom
J3,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,65.05,-197.45,0.0,bottom
KR1,~,Korry Switch,81.55,-114.41,0.0,top
KR10,~,Korry Switch,338.15,-178.06,0.0,top
KR11,~,Korry Switch,184.2,-116.46,0.0,top
KR12,~,Korry Switch,211.2,-116.56,0.0,top
KR2,~,Korry Switch,81.25,-145.06,0.0,top
KR3,~,Korry Switch,81.3,-177.91,0.0,top
KR4,~,Korry Switch,112.5,-178.26,0.0,top
KR5,~,Korry Switch,170.75,-178.32,0.0,top
KR6,~,Korry Switch,211.25,-160.71,0.0,top
KR7,~,Korry Switch,252.2,-178.31,0.0,top
KR8,~,Korry Switch,278.15,-129.46,0.0,top
KR9,~,Korry Switch,306.9,-178.26,0.0,top
P1,Conn_01x02,TerminalBlock_bornier-2_P5.08mm,351.94,-99.3,180.0,bottom
P2,DataIn,PinHeader_1x04_P2.54mm_Vertical,339.23,-98.05,90.0,bottom
R1,Iset,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,210.65,-142.5,0.0,bottom
R10,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,141.75,-140.8,0.0,top
