Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,56.925,-126.95,90.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,82.06,-120.6,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,109.6,-175.65,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,86.275,-156.725,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.0,-173.275,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,133.525,-175.825,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,151.975,-173.125,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,152.3,-157.275,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,150.5,-142.525,90.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,99.0,-133.75,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,119.535,-133.75,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,57.475,-161.35,90.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,119.31,-119.5,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,139.41,-133.75,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,148.975,-124.35,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,165.3,-116.35,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,164.65,-149.275,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,172.825,-175.65,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,175.45,-156.275,90.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,181.3,-138.375,90.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,181.475,-113.9,90.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,202.575,-114.275,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,63.96,-149.3,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,224.775,-114.4,0.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,189.85,-151.05,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,214.45,-150.65,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,221.81,-177.025,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,208.025,-168.0,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,238.3,-150.3,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,244.575,-160.85,90.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,244.95,-132.925,90.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,243.375,-113.725,90.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,229.2,-164.225,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,57.885,-141.075,0.0,top
D40,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,252.7,-176.7,0.0,top
D41,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,254.325,-150.5,0.0,top
D42,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,271.6,-150.7,0.0,top
D43,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,260.55,-115.775,0.0,top
D44,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,273.025,-120.75,0.0,top
D45,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,278.9,-131.975,0.0,top
D46,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,272.125,-168.5,0.0,top
D47,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,287.625,-176.15,0.0,top
D48,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,311.15,-176.15,0.0,top
D49,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,340.0,-172.6,0.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,80.25,-149.575,0.0,top
D50,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,340.175,-154.425,0.0,top
D51,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,306.15,-132.15,0.0,top
D52,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,329.675,-132.35,0.0,top
D53,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,320.95,-125.225,0.0,top
D54,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,291.725,-125.225,0.0,top
D55,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,363.35,-175.45,0.0,top
D56,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,367.375,-161.75,90.0,top
D57,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,341.95,-120.225,0.0,top
D58,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,364.05,-120.475,0.0,top
