Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,56.4,-105.025,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,126.575,-85.775,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,118.625,-100.375,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,126.825,-116.875,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,126.475,-138.15,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,109.95,-147.275,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,92.725,-153.575,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,59.85,-157.975,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,55.925,-178.75,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,59.725,-205.95,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,79.325,-206.425,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,60.65,-120.95,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,78.475,-185.65,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,89.3,-178.4,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,110.2,-182.45,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,109.95,-203.2,90.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,131.225,-178.525,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,141.675,-186.25,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,141.675,-206.425,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,115.65,-168.3,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,139.05,-159.4,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,143.45,-138.025,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,58.75,-136.025,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,143.325,-110.7,0.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,140.95,-99.775,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,160.325,-99.65,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,181.7,-99.65,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,176.825,-113.2,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,176.575,-138.375,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,158.9,-153.575,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,176.575,-166.175,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,157.95,-176.15,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,163.625,-206.3,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,78.25,-138.725,0.0,top
D40,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,193.5,-206.9,0.0,top
D41,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,160.85,-189.25,0.0,top
D42,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,193.275,-184.1,0.0,top
D43,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,208.775,-176.25,0.0,top
D44,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,223.75,-182.5,0.0,top
D45,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,223.9,-207.0,0.0,top
D46,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,254.675,-206.8,0.0,top
D47,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,250.75,-175.1,0.0,top
D48,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,240.075,-158.9,0.0,top
D49,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,224.75,-167.25,0.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,93.45,-137.675,0.0,top
D50,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,223.675,-148.55,0.0,top
D51,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,193.05,-148.025,0.0,top
D52,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,192.325,-129.85,0.0,top
D53,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,203.81,-107.95,0.0,top
D54,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,191.425,-91.2,0.0,top
D55,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,225.1,-91.025,0.0,top
D56,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,240.25,-99.2,0.0,top
D57,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,224.925,-117.2,0.0,top
D58,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,240.975,-125.05,0.0,top
D59,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,258.075,-127.525,0.0,top
D6,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,93.7,-118.9,0.0,top
D60,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,276.775,-111.85,0.0,top
D61,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,275.325,-99.5,0.0,top
D62,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,261.45,-148.725,0.0,top
D63,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,264.0,-166.575,0.0,top
D64,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,256.275,-189.5,0.0,top
D65,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,272.2,-189.275,0.0,top
D66,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,304.35,-205.2,90.0,top
D67,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,304.4,-182.375,0.0,top
