Comment,Designator,Footprint,LCSC,Quantity
Conn_02x01,J22,TerminalBlock_bornier-2_P5.08mm,,1
LED,D83,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R25,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220R,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D34,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D56,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D36,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x03_Pin,J5,PinHeader_1x03_P2.54mm_Vertical,,1
~,KR3,Korry Switch,,1
LED,D98,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D4,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D70,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D60,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R14,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D18,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D76,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R32,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D16,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D74,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D106,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D3,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D31,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D40,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D79,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D45,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D113,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D92,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x03_Pin,J15,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D101,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D26,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D49,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D2,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R19,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D13,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D107,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D39,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D68,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R34,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D1,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D109,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D103,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R22,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D37,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D62,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D89,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D25,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D86,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D105,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D88,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D44,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D21,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R28,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220R,R27,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D47,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D114,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R15,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D85,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D7,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R40,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x04_Pin,J6,PinHeader_1x04_P2.54mm_Vertical,,1
LED,D82,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
~,KR9,Korry Switch,,1
~,KR2,Korry Switch,,1
LED,D80,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R16,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D95,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D104,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D24,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D57,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D5,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D90,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x03_Pin,J2,PinHeader_1x03_P2.54mm_Vertical,,1
220R,R26,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D28,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D42,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D72,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D99,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D51,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D91,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D78,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x09_Pin,J13,PinHeader_1x09_P2.54mm_Vertical,,1
LED,D15,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
~,KR6,Korry Switch,,1
LED,D73,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D29,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R24,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D14,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R38,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
