Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,57.525,-90.2,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,125.485,-89.8,0.0,top
D100,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,233.985,-177.0,0.0,top
D101,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,234.185,-201.1,0.0,top
D102,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,257.475,-177.9,0.0,top
D103,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,257.575,-202.0,0.0,top
D104,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,284.075,-177.2,0.0,top
D105,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,309.085,-173.4,0.0,top
D106,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,294.885,-191.2,0.0,top
D107,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,285.685,-204.0,0.0,top
D108,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,309.885,-205.5,0.0,top
D109,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,343.685,-174.1,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,119.785,-104.2,0.0,top
D110,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,325.485,-191.4,0.0,top
D111,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,326.985,-178.9,0.0,top
D112,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,349.285,-203.2,0.0,top
D113,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,360.485,-168.8,0.0,top
D114,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,327.585,-203.4,0.0,top
D115,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,356.285,-193.2,0.0,top
D116,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,362.585,-138.6,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,144.785,-90.1,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,150.085,-104.9,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,122.485,-118.9,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,149.385,-118.9,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,135.485,-119.1,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,157.385,-90.1,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,159.185,-119.0,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,104.385,-118.8,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,83.485,-90.5,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,175.385,-119.2,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,176.885,-90.0,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,181.585,-105.0,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,193.385,-94.6,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,193.685,-118.8,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,208.285,-96.4,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,223.475,-94.6,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,222.885,-118.8,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,193.285,-105.2,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,235.175,-95.2,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,84.925,-104.3,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,232.785,-106.9,0.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,247.275,-118.9,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,262.385,-104.6,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,264.085,-89.6,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,249.725,-94.05,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,291.185,-89.7,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,266.385,-118.9,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,287.785,-118.8,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,304.285,-87.8,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,297.585,-98.1,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,83.585,-119.1,0.0,top
D40,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,297.385,-112.0,0.0,top
D41,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,305.985,-119.4,0.0,top
D42,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,322.185,-119.5,0.0,top
D43,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,330.585,-111.7,0.0,top
D44,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,329.575,-96.1,0.0,top
D45,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,323.385,-87.5,0.0,top
D46,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,334.075,-87.5,0.0,top
D47,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,358.185,-88.0,0.0,top
D48,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,346.385,-90.1,0.0,top
D49,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,361.185,-100.2,0.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,70.385,-96.5,0.0,top
D50,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,360.985,-112.8,0.0,top
D51,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,346.585,-119.0,0.0,top
D52,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,355.675,-130.4,0.0,top
D53,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,55.825,-138.1,0.0,top
D54,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,75.485,-138.1,0.0,top
D55,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,55.485,-163.3,0.0,top
D56,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,75.485,-163.3,0.0,top
D57,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,80.585,-151.2,0.0,top
D58,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.785,-137.5,0.0,top
D59,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,105.585,-137.4,0.0,top
D6,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,55.785,-104.5,0.0,top
D60,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,116.785,-133.4,0.0,top
D61,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.975,-163.5,0.0,top
D62,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.885,-150.6,0.0,top
D63,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,110.485,-163.5,0.0,top
D64,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,143.185,-137.0,0.0,top
D65,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,148.485,-150.9,0.0,top
D66,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,142.785,-164.1,0.0,top
D67,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,172.175,-137.8,0.0,top
D68,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,184.485,-149.1,0.0,top
D69,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,164.785,-170.0,0.0,top
D7,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,56.625,-118.7,0.0,top
D70,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,143.285,-178.4,0.0,top
D71,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,79.225,-178.9,0.0,top
D72,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,54.525,-182.5,0.0,top
D73,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,58.525,-202.1,0.0,top
D74,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,78.285,-201.2,0.0,top
D75,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,96.585,-205.0,0.0,top
D76,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.885,-202.4,0.0,top
D77,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.885,-176.0,0.0,top
D78,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,135.685,-203.9,0.0,top
D79,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,149.185,-191.7,0.0,top
D8,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,70.685,-119.1,0.0,top
D80,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,164.085,-204.5,0.0,top
D81,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,184.985,-128.9,0.0,top
D82,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,184.485,-170.6,0.0,top
D83,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,184.685,-201.7,0.0,top
D84,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,208.485,-133.8,0.0,top
D85,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,208.285,-148.3,0.0,top
D86,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,207.585,-170.0,0.0,top
D87,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,207.885,-204.1,0.0,top
D88,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,232.085,-132.6,0.0,top
D89,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,241.485,-159.1,0.0,top
D9,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,112.185,-89.8,0.0,top
D90,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,259.975,-132.0,0.0,top
D91,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,267.185,-159.4,0.0,top
D92,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,291.485,-137.5,0.0,top
D93,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,291.385,-156.2,0.0,top
D94,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,317.385,-132.3,0.0,top
D95,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,318.375,-158.6,0.0,top
D96,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,335.275,-126.1,0.0,top
D97,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,327.575,-145.4,0.0,top
D98,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,339.885,-159.5,0.0,top
D99,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,360.575,-152.5,0.0,top
J1,Conn_02x20_Counter_Clockwise,PinHeader_2x20_P2.54mm_Vertical,228.55,-84.33,90.0,bottom
J10,Conn_02x20_Counter_Clockwise,PinHeader_2x20_P2.54mm_Vertical,168.35,-84.33,90.0,bottom
J11,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,246.84,-145.6,90.0,top
J12,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,248.37,-104.6,90.0,top
J13,Conn_01x09_Pin,PinHeader_1x09_P2.54mm_Vertical,314.1,-105.3,90.0,top
J14,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,277.1,-145.5,90.0,top
J15,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,244.04,-189.1,90.0,top
J16,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,305.97,-145.5,90.0,top
J17,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,339.7,-145.4,90.0,top
J18,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,271.57,-189.2,90.0,top
J19,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,339.7,-189.2,90.0,top
J2,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,64.9,-150.7,90.0,top
J20,Conn_01x03_Pin,TerminalBlock_bornier-3_P5.08mm,78.28,-82.3,180.0,bottom
J21,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,60.6,-82.3,180.0,bottom
J22,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,96.115,-82.25,180.0,bottom
J3,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,96.6,-150.8,90.0,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,132.2,-150.9,90.0,top
J5,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,67.3,-189.1,90.0,top
J6,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,96.17,-189.2,90.0,top
J7,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,133.5,-189.2,90.0,top
