Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.875,-41.85,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,140.935,-81.7,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,174.885,-40.8,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.685,-36.3,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,117.885,-81.0,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,179.075,-54.7,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,178.775,-73.8,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,194.96,-41.9,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,214.66,-60.375,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,168.125,-80.9,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,81.475,-81.7,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,81.4,-54.4,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,200.785,-81.1,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,209.6,-47.05,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,102.185,-88.6,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,133.675,-89.7,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,160.485,-89.7,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,188.185,-89.2,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,90.285,-97.2,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,118.175,-97.3,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,148.885,-97.0,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,175.575,-97.2,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,81.4,-72.65,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,201.485,-97.4,0.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,90.475,-122.7,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,117.975,-122.6,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,104.785,-104.7,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,149.075,-122.6,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,133.475,-105.8,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,162.185,-107.1,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,176.775,-122.7,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,203.675,-122.6,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,188.385,-106.2,0.0,top
