Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,105.71,-92.7,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,183.96,-87.55,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,197.135,-87.35,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,201.845,-97.1,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,105.345,-105.4,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.745,-121.9,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,128.945,-121.9,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,139.61,-112.1,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,163.11,-120.0,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,171.21,-108.6,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,178.11,-118.5,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.145,-84.5,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,189.61,-119.725,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,203.445,-111.2,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,155.0738,-96.6,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,104.945,-118.5,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,148.81,-120.8,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,127.51,-84.4,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,135.745,-89.3,0.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,146.55,-84.675,180.0,top
D6,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,167.2,-87.15,180.0,top
D7,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,140.21,-98.1,0.0,top
D8,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,167.845,-98.0,0.0,top
D9,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,180.21,-97.6,0.0,top
J1,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,89.36,-82.6,180.0,bottom
J2,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,155.895,-105.8,90.0,top
J3,Conn_02x20_Counter_Clockwise,PinHeader_2x20_P2.54mm_Vertical,190.595,-82.555,90.0,bottom
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,189.65,-105.75,90.0,top
J7,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,89.375,-121.825,0.0,bottom
KR1,~,Korry Switch,122.5,-104.16,0.0,top
R1,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,106.65,-84.9,0.0,top
R2,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,175.275,-88.7,0.0,top
R3,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,190.8834,-97.1,0.0,top
R4,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,203.65,-119.8,0.0,top
R5,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.25,-122.0,0.0,top
R6,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,171.95,-118.9,0.0,top
R7,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,208.0,-103.8,0.0,top
R8,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.45,-121.2,0.0,top
