Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,49.675,-26.1,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,42.175,-66.3,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,65.185,-66.4,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,65.235,-53.35,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,89.385,-66.4,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,100.275,-53.2,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,158.925,-35.125,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,131.685,-42.0,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,131.585,-60.8,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,148.075,-66.3,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,163.285,-42.3,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,82.335,-30.475,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,37.285,-83.9,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,59.575,-84.6,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,85.785,-84.8,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,111.685,-85.0,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,112.685,-66.3,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,136.185,-85.3,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,163.285,-62.2,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,33.185,-42.2,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,98.385,-87.2,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,36.285,-105.3,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,63.385,-33.4,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,60.185,-105.3,0.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,85.385,-105.2,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,111.485,-105.5,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,136.485,-105.6,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,151.985,-73.5,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,154.725,-87.7,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,160.285,-112.6,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,69.685,-118.1,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,95.975,-119.3,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,68.075,-132.3,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,100.685,-31.1,0.0,top
D40,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,94.985,-135.9,0.0,top
D41,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,86.485,-142.4,0.0,top
D42,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,119.485,-118.1,0.0,top
D43,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,140.785,-119.0,0.0,top
