Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,188.775,-110.225,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,275.985,-136.05,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,275.9,-122.5,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,216.31,-136.55,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,206.25,-158.05,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,216.785,-178.475,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,149.775,-178.45,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,178.275,-178.625,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,206.05,-178.625,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,150.95,-187.925,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,144.7598,-196.475,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,204.275,-117.15,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,144.85,-217.3,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,170.575,-188.15,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,177.225,-196.225,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,176.825,-225.2,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,193.6,-193.925,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,196.15,-225.275,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,203.425,-198.2,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,221.65,-194.15,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,202.975,-211.525,90.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,219.125,-211.375,90.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,220.675,-117.35,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,221.875,-225.125,0.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,238.025,-180.375,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,244.05,-196.15,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,245.7,-225.125,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,251.8,-188.3,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,272.55,-180.15,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,270.975,-188.3,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,277.235,-196.375,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,276.975,-218.4,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,270.25,-225.675,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,236.7,-112.7,0.0,top
D40,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,154.2,-225.7,0.0,top
D41,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,206.0,-136.65,0.0,top
D42,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,216.41,-157.8,0.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,277.85,-111.1,0.0,top
D6,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,241.525,-120.55,0.0,top
D7,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,242.225,-134.8,0.0,top
D8,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,253.275,-146.025,0.0,top
D9,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,267.175,-146.025,0.0,top
J1,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,266.51,-106.975,180.0,bottom
J2,Conn_02x20_Counter_Clockwise,PinHeader_2x20_P2.54mm_Vertical,144.33,-147.295,180.0,bottom
J3,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,164.325,-226.475,0.0,bottom
J4,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,211.145,-211.175,90.0,top
KR1,~,Korry Switch,259.425,-128.01,0.0,top
KR2,~,Korry Switch,185.8,-209.26,0.0,top
KR3,~,Korry Switch,235.7,-209.21,0.0,top
KR4,~,Korry Switch,161.175,-208.935,0.0,top
KR5,~,Korry Switch,260.325,-208.86,0.0,top
R1,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,220.85,-124.775,0.0,top
R10,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,211.2,-225.275,0.0,top
R11,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,234.95,-225.425,0.0,top
R12,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,263.75,-179.925,0.0,top
R13,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,277.075,-208.875,0.0,top
R14,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,216.1,-168.6,0.0,top
R2,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,241.225,-127.85,0.0,top
R3,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,267.25,-153.575,0.0,top
R4,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,216.4,-146.85,0.0,top
R5,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,163.875,-178.4,0.0,top
R6,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,182.7,-188.05,0.0,top
R7,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,191.75,-178.55,0.0,top
R8,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,201.075,-193.55,0.0,top
R9,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,238.0,-188.05,0.0,top
