Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,31.31,-27.48905,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,58.275,-55.81405,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,73.95,-55.93905,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,87.6,-53.56405,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,87.725,-40.48905,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,58.025,-41.43905,90.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,121.025,-26.76405,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,120.55,-38.98905,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,120.45,-51.93905,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,139.675,-21.63905,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,155.225,-34.71405,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,45.385,-21.16405,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,155.0,-50.26405,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,140.4,-56.08905,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.475,-69.38905,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,105.2,-55.38905,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,30.025,-72.96405,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,58.775,-73.18905,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.35,-84.01405,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.225,-100.63905,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,28.85,-89.71405,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,32.685,-106.81405,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,57.1,-26.23905,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,58.925,-101.16405,90.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,118.325,-100.36405,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,151.35,-100.61405,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,44.8,-111.06405,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,68.675,-110.93905,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,65.7,-119.01405,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,77.225,-130.06405,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,86.725,-108.21405,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,94.7,-115.21405,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,95.75,-131.48905,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,70.875,-20.91405,0.0,top
D40,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,123.075,-127.33905,0.0,top
D41,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,120.575,-114.38905,0.0,top
D42,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,130.075,-108.56405,0.0,top
D43,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,74.25,-142.76405,0.0,top
D44,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,82.575,-63.43905,0.0,top
D45,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,101.825,-63.53905,0.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,85.7,-26.23905,0.0,top
D6,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,105.9,-26.36405,0.0,top
D7,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,28.35,-39.53905,0.0,top
D8,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,28.7,-54.26405,0.0,top
D9,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,44.85,-55.93905,0.0,top
J1,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,23.425,-161.56405,90.0,bottom
J2,Conn_02x20_Counter_Clockwise,PinHeader_2x20_P2.54mm_Vertical,24.53,-126.35905,180.0,bottom
J3,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,108.745,-123.46405,90.0,top
